# Data source: VanderSat
# Creation date: 2024-10-22
# Copyright: 2024, VanderSat B.V.
# Documentation: https://docs.vandersat.com/
# Contact information: https://vandersat.com/contact/
# Unit K
date,LST-AMSR2-DESC_V1.0_1000
2015-06-25,284.9082
2015-06-26,283.9209
2015-06-27,289.3258
2015-06-28,286.2570
2015-06-29,289.2854
2015-06-30,289.3295
2015-07-01,287.5660
2015-07-02,287.7136
2015-07-03,288.3243
2015-07-04,291.1585
2015-07-05,291.3968
2015-07-06,285.1117
2015-07-07,278.7282
2015-07-08,285.1446
2015-07-09,282.5516
2015-07-10,288.8930
2015-07-11,293.4332
2015-07-12,290.5600
2015-07-13,289.9235
2015-07-14,288.9102
2015-07-15,291.2081
2015-07-16,287.4790
2015-07-17,286.7008
2015-07-18,284.1664
2015-07-19,283.8061
2015-07-20,285.5483
2015-07-21,282.7280
2015-07-22,289.9735
2015-07-23,292.5180
2015-07-24,289.7952
2015-07-25,287.4948
2015-07-26,289.3627
2015-07-27,290.3268
2015-07-28,290.2210
2015-07-29,286.7310
2015-07-30,283.7707
2015-07-31,284.3515
2015-08-01,284.7070
2015-08-02,287.7497
2015-08-03,282.1572
2015-08-04,282.8927
2015-08-05,287.6269
2015-08-06,288.7018
2015-08-07,286.0414
2015-08-08,283.6018
2015-08-09,285.9569
2015-08-10,284.5670
2015-08-11,285.5340
2015-08-12,292.8956
2015-08-13,291.2072
2015-08-14,291.9555
2015-08-15,296.3936
2015-08-16,289.0263
2015-08-17,280.8016
2015-08-18,281.8444
2015-08-19,281.3605
2015-08-20,280.1196
2015-08-21,286.4297
2015-08-22,288.7033
2015-08-23,279.0680
2015-08-24,276.6918
2015-08-25,278.7093
2015-08-26,283.7535
2015-08-27,286.3626
2015-08-28,288.9206
2015-08-29,286.4489
2015-08-30,290.7648
2015-08-31,289.1920
2015-09-01,284.4674
2015-09-02,290.1494
2015-09-03,295.4983
2015-09-04,294.9823
2015-09-05,289.6169
2015-09-06,288.5616
2015-09-07,278.2642
2015-09-08,279.2994
2015-09-09,280.3385
2015-09-10,280.2502
2015-09-11,276.6824
2015-09-12,280.7259
2015-09-13,286.6325
2015-09-14,284.1812
2015-09-15,288.1255
2015-09-16,286.0832
2015-09-17,285.2893
2015-09-18,277.4739
2015-09-19,279.8714
2015-09-20,282.3223
2015-09-21,284.9202
2015-09-22,281.0707
2015-09-23,283.4834
2015-09-24,287.4127
2015-09-25,285.8499
2015-09-26,290.4104
2015-09-27,289.8682
2015-09-28,281.7193
2015-09-29,277.0051
2015-09-30,283.8785
2015-10-01,284.0014
2015-10-02,283.0973
2015-10-03,280.0136
2015-10-04,281.3368
2015-10-05,282.7037
2015-10-06,278.8077
2015-10-07,277.9969
2015-10-08,281.9099
2015-10-09,276.2903
2015-10-10,285.1689
2015-10-11,284.6315
2015-10-12,283.2943
2015-10-13,278.4905
2015-10-14,277.7102
2015-10-15,277.8085
2015-10-16,273.4800
2015-10-17,274.6254
2015-10-18,277.5399
2015-10-19,282.7502
2015-10-20,281.0848
2015-10-21,280.7460
2015-10-22,276.3071
2015-10-23,277.1969
2015-10-24,272.6458
2015-10-25,273.0104
2015-10-26,274.5819
2015-10-27,276.5934
2015-10-28,274.2525
2015-10-29,274.3423
2015-10-30,273.7851
2015-10-31,277.7564
2015-11-01,276.3269
2015-11-02,276.2559
2015-11-03,276.4252
2015-11-04,279.4862
2015-11-05,274.7395
2015-11-06,271.3741
2015-11-07,271.9940
2015-11-08,273.9815
2015-11-09,274.2603
2015-11-10,274.4764
2015-11-11,275.0350
2015-11-12,273.5916
2015-11-13,271.1692
2015-11-14,276.1336
2015-11-15,274.6140
2015-11-16,277.4129
2015-11-17,275.5880
2015-11-18,272.5037
2015-11-19,270.2378
2015-11-20,269.4978
2015-11-21,267.9468
2015-11-22,269.8940
2015-11-23,272.6594
2015-11-24,272.3451
2015-11-25,274.8563
2015-11-26,269.0665
2015-11-27,266.4785
2015-11-28,268.3796
2015-11-29,269.2059
2015-11-30,271.0483
2015-12-01,272.1213
2015-12-02,270.5353
2015-12-03,271.3569
2015-12-04,
2015-12-05,273.9448
2015-12-06,271.1568
2015-12-07,273.1701
2015-12-08,274.1675
2015-12-09,275.4048
2015-12-10,274.1354
2015-12-11,274.2698
2015-12-12,272.2049
2015-12-13,272.1325
2015-12-14,270.9027
2015-12-15,270.6838
2015-12-16,269.8575
2015-12-17,269.3994
2015-12-18,268.8238
2015-12-19,267.9211
2015-12-20,270.4586
2015-12-21,269.6215
2015-12-22,269.6827
2015-12-23,270.7314
2015-12-24,270.4567
2015-12-25,269.7148
2015-12-26,267.7291
2015-12-27,267.5520
2015-12-28,267.5700
2015-12-29,268.4912
2015-12-30,268.2091
2015-12-31,268.6616
2016-01-01,269.6427
2016-01-02,269.2646
2016-01-03,270.5087
2016-01-04,265.7473
2016-01-05,268.8290
2016-01-06,270.5548
2016-01-07,269.8918
2016-01-08,269.5599
2016-01-09,268.6562
2016-01-10,266.8089
2016-01-11,266.2401
2016-01-12,266.4693
2016-01-13,268.1997
2016-01-14,270.2824
2016-01-15,268.1693
2016-01-16,267.5969
2016-01-17,266.3008
2016-01-18,266.9559
2016-01-19,266.3583
2016-01-20,
2016-01-21,270.1854
2016-01-22,268.7661
2016-01-23,270.6508
2016-01-24,273.2890
2016-01-25,270.9604
2016-01-26,271.5231
2016-01-27,270.6442
2016-01-28,273.4039
2016-01-29,274.2383
2016-01-30,272.6868
2016-01-31,269.6626
2016-02-01,269.6290
2016-02-02,270.2127
2016-02-03,266.4898
2016-02-04,268.0409
2016-02-05,270.1571
2016-02-06,270.2773
2016-02-07,272.6742
2016-02-08,269.7486
2016-02-09,270.3365
2016-02-10,270.1934
2016-02-11,270.1466
2016-02-12,268.4480
2016-02-13,267.5071
2016-02-14,270.8229
2016-02-15,270.1807
2016-02-16,272.0787
2016-02-17,271.2005
2016-02-18,273.3789
2016-02-19,274.6321
2016-02-20,272.9558
2016-02-21,272.4863
2016-02-22,271.6141
2016-02-23,271.7078
2016-02-24,271.2856
2016-02-25,270.8618
2016-02-26,270.7096
2016-02-27,274.1691
2016-02-28,273.9382
2016-02-29,271.5268
2016-03-01,268.5759
2016-03-02,271.8472
2016-03-03,271.9806
2016-03-04,273.0242
2016-03-05,272.7281
2016-03-06,275.2006
2016-03-07,275.8021
2016-03-08,275.7113
2016-03-09,273.2356
2016-03-10,272.5056
2016-03-11,276.0219
2016-03-12,274.9060
2016-03-13,277.0223
2016-03-14,274.5826
2016-03-15,274.0964
2016-03-16,273.0180
2016-03-17,271.9268
2016-03-18,271.8926
2016-03-19,270.9291
2016-03-20,270.4996
2016-03-21,272.8180
