# Data source: VanderSat
# Creation date: 2024-10-22
# Copyright: 2024, VanderSat B.V.
# Documentation: https://docs.vandersat.com/
# Contact information: https://vandersat.com/contact/
# Unit m3/m3
date,SM-AMSR2-C1-DESC_V5.0_1000
2017-04-02,0.3800
2017-04-03,0.3700
2017-04-04,0.3790
2017-04-05,0.3751
2017-04-06,0.3671
2017-04-07,0.3631
2017-04-08,0.3542
2017-04-09,0.3381
2017-04-10,0.3129
2017-04-11,0.3396
2017-04-12,0.3421
2017-04-13,0.3285
2017-04-14,0.3216
2017-04-15,0.2997
2017-04-16,0.3170
2017-04-17,0.3140
2017-04-18,0.3641
2017-04-19,0.3291
2017-04-20,0.3606
2017-04-21,0.3483
2017-04-22,0.3232
2017-04-23,0.3144
2017-04-24,0.3324
2017-04-25,0.3347
2017-04-26,0.3210
2017-04-27,0.3289
2017-04-28,0.3136
2017-04-29,0.2937
2017-04-30,0.2801
2017-05-01,0.2641
2017-05-02,0.2698
2017-05-03,0.2754
2017-05-04,0.2559
2017-05-05,0.2327
2017-05-06,0.2264
2017-05-07,0.2243
2017-05-08,0.2199
2017-05-09,0.2386
2017-05-10,0.2358
2017-05-11,0.2099
2017-05-12,0.2021
2017-05-13,0.2044
2017-05-14,0.2363
2017-05-15,0.1860
2017-05-16,0.2714
2017-05-17,0.2622
2017-05-18,0.2525
2017-05-19,0.2266
2017-05-20,0.2045
2017-05-21,0.2226
2017-05-22,0.2466
2017-05-23,0.2423
2017-05-24,0.2124
2017-05-25,0.2568
2017-05-26,0.2201
2017-05-27,0.1929
2017-05-28,0.2111
2017-05-29,0.2139
2017-05-30,0.2008
2017-05-31,0.1820
2017-06-01,0.1837
2017-06-02,0.1838
2017-06-03,0.2088
2017-06-04,0.1836
2017-06-05,0.1684
2017-06-06,0.1763
2017-06-07,0.1738
2017-06-08,0.1709
2017-06-09,0.1568
2017-06-10,0.2090
2017-06-11,0.1988
2017-06-12,0.1609
2017-06-13,0.1861
2017-06-14,0.2809
2017-06-15,0.2556
2017-06-16,0.2028
2017-06-17,0.2075
2017-06-18,0.2610
2017-06-19,0.2359
2017-06-20,0.2297
2017-06-21,0.1877
2017-06-22,0.1614
2017-06-23,0.1709
2017-06-24,0.1772
2017-06-25,0.1757
2017-06-26,0.1802
2017-06-27,0.1702
2017-06-28,0.2043
2017-06-29,0.1883
2017-06-30,0.2286
2017-07-01,0.1722
2017-07-02,0.1717
2017-07-03,0.1796
2017-07-04,0.1774
2017-07-05,0.1761
2017-07-06,0.1737
2017-07-07,0.1482
2017-07-08,0.1484
2017-07-09,0.1363
2017-07-10,0.1481
2017-07-11,0.1572
2017-07-12,0.1736
2017-07-13,0.1695
2017-07-14,0.1605
2017-07-15,0.1621
2017-07-16,0.1445
2017-07-17,0.1662
2017-07-18,0.1440
2017-07-19,0.1795
2017-07-20,0.1941
2017-07-21,0.2057
2017-07-22,0.1984
2017-07-23,0.1743
2017-07-24,0.1621
2017-07-25,0.1600
2017-07-26,0.1552
2017-07-27,0.1488
2017-07-28,0.1764
2017-07-29,0.1703
2017-07-30,0.1809
2017-07-31,0.1642
2017-08-01,0.1545
2017-08-02,0.1455
2017-08-03,0.2430
2017-08-04,0.2243
2017-08-05,0.1710
2017-08-06,0.2147
2017-08-07,0.2098
2017-08-08,0.1827
2017-08-09,0.1966
2017-08-10,0.2135
2017-08-11,0.1899
2017-08-12,0.1853
2017-08-13,0.2190
2017-08-14,0.2213
2017-08-15,0.2101
2017-08-16,0.2402
2017-08-17,0.2323
2017-08-18,0.2108
2017-08-19,0.1922
2017-08-20,0.1662
2017-08-21,0.1632
2017-08-22,0.1638
2017-08-23,0.1741
2017-08-24,0.1633
2017-08-25,0.1474
2017-08-26,0.1839
2017-08-27,0.1773
2017-08-28,0.1587
2017-08-29,0.1598
2017-08-30,0.1488
2017-08-31,0.1528
2017-09-01,0.1726
2017-09-02,0.1471
2017-09-03,0.1661
2017-09-04,0.1341
2017-09-05,0.1532
2017-09-06,0.1511
